hash,author,date,message,category,logs_added,logs_removed,logs_modified
6ddb7a4d130e4c2079cdbd201a7b2c275892ae38,Michael Litvak,Sun Feb 22 18:29:01 2026 +0100,logstor: hold segment until index updates,other,0,0,0
bd66edee5ca6ccbf0ee4a7cd6511bc246ad68f29,Michael Litvak,Sat Feb 21 13:42:25 2026 +0100,logstor: truncate table,other,0,0,0
489efca47c0388ceec95c0bdf89657d279dc59dc,Michael Litvak,Sat Feb 21 13:43:59 2026 +0100,logstor: enable/disable compaction per table,other,0,0,0
21db4f3ed80ad439224f37fbb75817dceba7c1cf,Michael Litvak,Mon Feb 16 19:20:17 2026 +0100,logstor: separator buffer pool,other,0,0,0
37c485e3d15c30f5e39b378eed218042d0562100,Michael Litvak,Tue Feb 24 16:47:00 2026 +0100,test: logstor: add separator and compaction tests,feature,0,0,0
31aefdc07dbe24e064ad8152c347efa01ca70526,Michael Litvak,Sun Feb 15 21:42:45 2026 +0100,logstor: segment and separator barrier,other,0,0,0
1231fafb46f5a67640fd68c4932c145f083151eb,Michael Litvak,Sun Feb 15 08:58:45 2026 +0100,logstor: separator debt controller,other,0,0,0
17cb173e18bad334d7d93754a65bcbe65b50704d,Michael Litvak,Sat Feb 14 12:42:28 2026 +0100,logstor: compaction controller,other,0,0,0
1da1bb9d99f42c4c9ecf06cf11038824b2ebb031,Michael Litvak,Thu Feb 12 16:45:59 2026 +0100,logstor: recovery: recover mixed segments using separator,other,0,0,0
b78cc787a6ba2c0f8c698dfd37d46b47c52d2748,Michael Litvak,Mon Feb 9 18:58:30 2026 +0100,logstor: wait for pending reads in compaction,other,0,0,0
600ec82bec100018df4d1738e5ea2660459d7361,Michael Litvak,Sun Feb 8 18:56:52 2026 +0100,logstor: separator,other,0,0,0
009fc3757a4f301de768bc6a635fa1b9c546ad05,Michael Litvak,Thu Feb 5 23:06:19 2026 +0100,logstor: compaction groups,other,0,0,0
b3293f8579ee703f5f64727c8172f585e133f8aa,Michael Litvak,Mon Feb 9 12:17:38 2026 +0100,logstor: cache files for read,other,0,0,0
5a16980845583dfbf0f7bf88e56fe19f82be6821,Michael Litvak,Sun Feb 1 09:53:34 2026 +0100,logstor: recovery: initial,other,0,0,0
bc9fc96579ee2ecc5779d00f9197796b378d700c,Michael Litvak,Thu Feb 12 14:19:58 2026 +0100,logstor: add segment generation,feature,0,0,0
719f7cca576d94439d55fbaaac9daf566ec9423f,Michael Litvak,Mon Feb 2 14:19:27 2026 +0100,logstor: reserve segments for compaction,other,0,0,0
521fca5c92d2858429a2ca6989a5c20181c4cca3,Michael Litvak,Mon Feb 2 08:29:23 2026 +0100,logstor: index: buckets,other,0,0,0
99c3b1998adaf6507e1b922d717ac560a420d95a,Michael Litvak,Sat Jan 31 17:26:18 2026 +0100,logstor: add buffer header,feature,0,0,0
ddd72a16b08a5d67a28ddc90829d4791dd299ea0,Michael Litvak,Fri Jan 30 10:02:49 2026 +0100,logstor: add group_id,feature,0,0,0
08bea860ef6acbe048bc0445590d63af505167bf,Michael Litvak,Sun Feb 1 09:53:23 2026 +0100,logstor: record generation,other,0,0,0
28f820eb1c8e02727982c3f1cbc528f9bb3a1f32,Michael Litvak,Sun Feb 1 12:21:06 2026 +0100,logstor: generation utility,other,0,0,0
5f649dd39f61fca1c748815348c6155a2b275ffc,Michael Litvak,Mon Jan 26 19:14:50 2026 +0100,logstor: use RIPEMD-160 for index key,other,0,0,0
a521bcbcee7e87dbe186e7020bf955ee8b21bff8,Michael Litvak,Sat Jan 24 20:06:55 2026 +0100,test: add test_logstor.py,feature,0,0,0
1ae1f37ec15ce2c0f7183cb4bc2230e26118bf2d,Michael Litvak,Thu Jan 29 15:05:37 2026 +0100,api: add logstor compaction trigger endpoint,feature,0,0,0
2128b1b15cfed9a03405e2c2b578c52a5f0f4854,Michael Litvak,Fri Jan 16 14:05:58 2026 +0100,replica: add logstor to db,feature,0,0,0
9172cc172eb47e53678e2f25be510929d2d21ed4,Michael Litvak,Fri Jan 16 21:13:35 2026 +0100,schema: add logstor cf property,feature,0,0,0
0b1343747f8f4b37ae4e55c199dcd925810ad65b,Michael Litvak,Thu Jan 15 18:56:33 2026 +0100,logstor: initial commit,other,0,0,0
27fd0c119fdba2119cfc28114530d44b943c853b,Michael Litvak,Wed Feb 4 14:51:15 2026 +0100,db: disable tablet balancing with logstor,other,0,0,0
ed852a2af2eb08bca42090964a201aa1bdaddf7a,Michael Litvak,Wed Feb 4 14:47:28 2026 +0100,db: add logstor experimental feature flag,feature,0,0,0
3775593e532420f99a317eefb1b6d611cabb28c7,Tomasz Grabiec,Mon Feb 9 21:17:07 2026 +0100,test: perf_simple_query: Add 'sstable-format' command-line option,feature,0,0,0
6ee9bc63ebb67d7aab8760027a170400d37314a4,Tomasz Grabiec,Mon Feb 9 21:16:59 2026 +0100,test: perf_simple_query: Add 'sstable-summary-ratio' command-line option,feature,0,0,0
38d130d9d0cbd0d42b57d0b25d45328176ecfcee,Tomasz Grabiec,Fri Feb 6 15:40:57 2026 +0100,test: perf-simple-query: Add option to disable index cache,feature,0,0,0
d4fdeb483975a6617e590516dba7353aba20b36e,Aleksandra Martyniuk,Fri Mar 13 17:13:39 2026 +0100,tasks: pass token_metadata_ptr to task_manager::virtual_task::impl::get_children,other,0,0,0
ae17596c2aaaf762b7ec3cbd562ae231bdf8f092,Botond D̩nes,Wed Mar 18 16:21:05 2026 +0200,Merge 'Demote log level on split failure during shutdown' from Raphael Raph Carvalho,logging_improvement,0,0,0
b1d4fc5e6e5ba6fb5cd8cc196b1618ec8c4fc527,Pavel Emelyanov,Wed Mar 11 13:58:56 2026 +0300,test: Squash test_restore_primary_replica_same,other,0,0,0
21c603a79ece3efb30a1d86a83d9b749e247a024,Pavel Emelyanov,Wed Mar 11 13:56:33 2026 +0300,test: Use the same regexp in test_restore_primary_replica_different,other,0,0,0
06d16b6ea240700223583e5478d73e2d21ed0946,Marcin Maliszkiewicz,Tue Feb 24 18:32:54 2026 +0100,auth: cache: add heterogeneous map lookups,feature,0,0,0
71e6918f28aabbc03f911310d1f26b96f3f2a6a5,Dario Mirovic,Tue Mar 17 20:20:47 2026 +0100,test: use NetworkTopologyStrategy in maintenance socket tests,other,0,0,0
