hash,author,date,message,category,logs_added,logs_removed,logs_modified
c5dc22d175eee8ece16420ecf8f56d824de5861c,Alexey Serbin,Fri Sep 19 17:17:36 2025 -0700,[thirdparty] upgrade cpplint up to 1.6.1 release,other,0,0,0
ed9ebd6ad41bedc519b29a050e2243970018b409,Alexey Serbin,Mon Sep 22 17:22:22 2025 -0700,[style] updates to prepare for cpplint upgrade,other,0,0,0
90ccc17e861d74bb625cbb1d9c52ac9073f21d40,Alexey Serbin,Tue Jun 10 10:33:44 2025 -0700,"KUDU-1261 update CFile {en,de}coders for array data type",other,1,0,0
aabe09da6ffbeaafa040bb00657ec285426c8eaa,Alexey Serbin,Mon Jun 9 20:07:30 2025 -0700,KUDU-1261 introduce 1D arrays into ColumnSchema,other,0,0,0
43abc0b1ea9c31d2fa67cb187af0c0364f638e49,Alexey Serbin,Wed Sep 10 14:05:45 2025 -0700,KUDU-3660 do not run AdminCliTest.TestRebuildTables under TSAN,other,0,0,0
dd4fcccf5a7c6a0ede70ab77f79df6277f6c0115,Alexey Serbin,Tue Sep 9 22:21:02 2025 -0700,[client] fix ClangTidy warning in schema.cc,bug_fix,0,0,0
e2e116a9cb215058aad161061214d11c617cedac,Alexey Serbin,Mon Jun 9 19:26:04 2025 -0700,KUDU-1261 support 1D arrays in TypeInfo,feature,0,0,0
3c41631a053dd70276b7f52ae37ebb5dd0e84eac,Alexey Serbin,Tue Jun 17 18:34:18 2025 -0700,KUDU-1261 introduce Flatbuffers into thirdparty,other,6,0,0
6ab3f249351a4ee5d73eb8bda3585c4dcd85d070,Abhishek Chennaka,Wed Aug 13 22:25:41 2025 -0700,Fix compilation if using OpenSSL < 1.1.1,bug_fix,3,0,0
991e8802a884abc02653bbc35cebef9f196cfe41,Ashwani Raina,Thu Jun 5 18:07:04 2025 +0530,KUDU-1457 [1/n] add IPv6 support to net utils,feature,2,0,1
6307ab29b78ebc064971e01ca1da31590298dcda,Alexey Serbin,Tue Aug 12 15:50:42 2025 -0700,[rpc] make Messenger::ShutdownInternal() safer,other,0,0,0
69cd6ed63f1a62133b0bb021015c66e1516002dc,Alexey Serbin,Sun Aug 10 01:07:21 2025 -0700,KUDU-3635 fix compilation with OpenSSL prior to v1.1.0,bug_fix,0,0,1
8e873eb37b157a0cf7cb97cc7690367de9707107,Alexey Serbin,Sun Aug 10 12:03:58 2025 -0700,KUDU-2439 properly update Messenger instance counter,other,1,0,1
d1413014255df62a6e38550552a8596644aa0033,Alexey Serbin,Wed Aug 6 20:09:28 2025 -0700,KUDU-2439 address the issue up to some extent,bug_fix,1,0,0
bda99a38bb7da12959a99ffc9a79de02acdacf2a,Alexey Serbin,Mon Jul 28 16:24:44 2025 -0700,KUDU-3635 call OPENSSL_cleanup() explicitly,refactor,0,0,4
